S.No,startup_name,industry,city,state,funding_requested,valuation_requested,received_offer,accepted_offer,funding_received,investors
425,CremeCastle,Food and Beverage,Noida,Uttar Pradesh,60,4000,1,1,60,
426,Namakwali,Food and Beverage,,Uttarakhand,50,1000,1,1,10,
427,KariboCosmetics,Beauty/Fashion,Mumbai,Maharashtra,80,1600,0,,,
428,Deeva,Beauty/Fashion,Bangana,Himachal Pradesh,200,5000,1,1,75,Radhika Gupta
429,DesignTemplate,Technology/Software,Bid,Maharashtra,100,4000,1,1,100,
430,Sama,Business Services,Delhi,"Delhi,Bihar,Kerala",100,10000,1,1,100,
431,GoldenFeathers,Manufacturing,Jaipur,Rajasthan,500,10000,0,,,
432,Myracle.io,Technology/Software,Mumbai,Maharashtra,120,4000,0,,,
433,Cup-ji,Food and Beverage,Mumbai,Maharashtra,50,1000,0,,,
434,AToddlerThing,Beauty/Fashion,Coimbatore,Tamil Nadu,80,4000,1,1,40,
435,FlexifyMe,Medical/Health,Pune,Maharashtra,100,5000,1,1,50,
436,Dharaksha,Green/CleanTech,Faridabad,Haryana,0.0125,1.25,1,1,0.0125,
437,iDreamCareer,Technology/Software,"Delhi,Bangalore","Delhi,Karnataka",110,8593.75,1,1,60,
438,RockPaperRum,Liquor/Alcohol,Mumbai,Maharashtra,50,2500,1,1,20,
439,Fit&Flex,Food and Beverage,Ahmedabad,Gujarat,100,3333.333333,1,0,,
440,Sukham,Medical/Health,Delhi,Delhi,100,3003.003003,0,,,
441,Smotect,Medical/Health,Mumbai,Maharashtra,100,10000,1,1,50,
442,Katidhan,Manufacturing,Bangalore,Karnataka,150,6000,1,1,75,
443,NEMAAI,Technology/Software,Delhi,Delhi,80,1600,1,1,40,
444,MaplePods,Business Services,Delhi,Delhi,150,3000,0,,,
445,SpecOps,Others,,,80,4000,1,1,40,
446,KaabilKids,Technology/Software,Noida,Uttar Pradesh,70,3500,1,1,50,
447,OddGiraffe,Lifestyle/Home,Mumbai,Maharashtra,75,1000,0,,,
448,Nemocare,Medical/Health,"Hyderabad,Bangalore","Telangana,Karnataka",100,4000,1,1,20,
449,WhySoBlue,Beauty/Fashion,Mumbai,Maharashtra,75,2500,1,1,40,
450,CoratiaTechnologies,Technology/Software,Rourkela,Odisha,80,8000,1,1,80,
451,Coolant,Manufacturing,Noida,Uttar Pradesh,90,9000,0,,,
452,Xmachines,Technology/Software,Hyderabad,Telangana,72,1800,1,1,72,
453,Luvottica,Lifestyle/Home,Abohar,Punjab,200,2000,0,,,
454,FarmDidi,Food and Beverage,"Amravati,Lucknow,Bahadurgarh","Maharashtra,Uttar Pradesh,Haryana",50,2500,1,1,100,
455,Popcorn,Food and Beverage,Delhi,Delhi,75,1000,1,1,75,
456,Prorata,Business Services,Bangalore,Karnataka,100,5000,1,1,50,
457,Indigifts,Business Services,Jaipur,Rajasthan,50,2500,1,1,50,
458,AlienVersions,Vehicles/Electrical Vehicles,"Itanagar,Dehradun","Arunachal Pradesh,Uttarakhand",50,1000,0,,,
459,Rocca,Food and Beverage,Nagpur,Maharashtra,60,1500,1,1,30,
460,KikoLive,Technology/Software,Mumbai,Maharashtra,100,10000,0,,,
461,Melooha,Others,Bangalore,Karnataka,80,4000,0,,,
462,FUTRStudios,Technology/Software,"Chandigarh,Ahmedabad","Punjab,Gujarat",100,4000,0,,,
463,Allter,Lifestyle/Home,Delhi,Delhi,100,4000,1,1,100,
464,FirstBudOrganics,Food and Beverage,Deoghar,Jharkhand,50,714.2857143,1,1,50,
465,Shararat,Lifestyle/Home,Noida,Uttar Pradesh,60,857.1428571,0,,,
466,Competishun,Children/Education,Jaipur,Rajasthan,200,20000,0,,,
467,BombayClosetCleanse,Beauty/Fashion,Mumbai,Maharashtra,100,4000,0,,,
468,KioskKaffee,Food and Beverage,Pune,Maharashtra,90,3000,0,,,
469,NeonAttack,Lifestyle/Home,Hyderabad,Telangana,75,2500,1,1,50,
470,PTal,Lifestyle/Home,Amritsar,Punjab,50,5000,1,1,100,
471,RoadPilot,Technology/Software,Lucknow,Uttar Pradesh,80,1600,0,,,
472,SmartMop,Lifestyle/Home,Mysuru,Karnataka,15,1500,0,,,
473,Lea,Beauty/Fashion,Noida,Uttar Pradesh,100,5000,1,1,100,Azhar Iqubal
474,$KrishnaRama,Entertainment,Hyderabad,Telangana,200,666.6666667,0,,,
475,Rentit4me,Business Services,Gurugram,Haryana,150,3000,0,,,
476,CoolTheGlobe,Green/CleanTech,Pune,Maharashtra,25,500,1,1,25,Radhika Gupta
477,Canvaloop,Green/CleanTech,Surat,Gujarat,100,7518.796992,1,1,200,"Azhar Iqubal,Radhika Gupta"
478,DigitalPaani,Green/CleanTech,Jaipur,Rajasthan,70,7000,0,,,
479,FAEBeauty,Beauty/Fashion,Mumbai,Maharashtra,100,10000,1,1,100,
480,CONFECT,Food and Beverage,Delhi,Delhi,100,10000,1,1,100,
481,Indulge,Technology/Software,Goa,Goa,50,5000,0,,,
482,BLFabric,Beauty/Fashion,Surat,Gujarat,100,5000,1,1,100,Kunal Bahl
483,CultureCircle,Beauty/Fashion,Gurugram,Haryana,120,24000,1,1,300,Kunal Bahl
484,NexeraHealth,Medical/Health,Jaipur,Rajasthan,75,7500,0,,,
485,NOOE,Technology/Software,"Delhi,Pune","Delhi,Maharashtra",50,5000,1,1,500,
486,GoZero,Food and Beverage,Mumbai,Maharashtra,100,10000,1,1,100,
487,CurveElectric,Technology/Software,Srinagar,Jammu & Kashmir,500,10000,0,,,
488,Gudworld,Food and Beverage,Aurangabad,Maharashtra,50,2500,1,1,50,
489,airth,Lifestyle/Home,Delhi,Delhi,60,6000,1,1,100,
490,OneDios,Lifestyle/Home,Noida,Uttar Pradesh,75,5000,0,,,
491,InnerGize,Medical/Health,Delhi,Delhi,54,3600,1,1,100,Azhar Iqubal
492,PersonalTouchSkincare,Beauty/Fashion,Panipat,Haryana,120,12000,0,,,
493,KIWIKisanWindow,Lifestyle/Home,Dehradun,Uttarakhand,50,5000,1,1,250,Kunal Bahl
494,TripoleGear,Fitness/Sports/Outdoors,Delhi,Delhi,100,10000,1,1,75,
495,Neosapien,Technology/Software,"Gwalior,Indore",Madhya Pradesh,80,3200,1,1,80,
496,MissCheesecake,Food and Beverage,Jodhpur,Rajasthan,30,600,1,0,,
497,SpeedKitchen,Food and Beverage,Delhi,Delhi,200,6666.666667,1,1,200,"Kunal Bahl,Azhar Iqubal"
498,MudgarClub,Fitness/Sports/Outdoors,,Haryana,50,500,1,1,50,
499,ImagiMake,Children/Education,Mumbai,Maharashtra,150,30000,1,0,,
500,BeastLife,Medical/Health,"Kanpur,Lucknow",Uttar Pradesh,100,10000,0,,,
501,GoDevil,Beauty/Fashion,Gurugram,Haryana,80,4000,0,,,
502,Havintha,Beauty/Fashion,Indore,Madhya Pradesh,50,2500,1,0,,
503,NurturingGreen,Lifestyle/Home,Lucknow,Uttar Pradesh,100,10000,1,1,50,
504,kyari,Lifestyle/Home,Indore,Madhya Pradesh,80,10000,1,0,,
505,ProjectClay,Children/Education,Goa,Goa,15,150,1,1,15,
506,DeniBikes,Vehicles/Electrical Vehicles,Pune,Maharashtra,30,300,0,,,
507,PrettyLittleShop,Lifestyle/Home,Mumbai,Maharashtra,30,300,0,,,
508,Aquapeya,Lifestyle/Home,Sangli,Maharashtra,70,3500,1,1,70,
509,Jarsh,Manufacturing,Hyderabad,Telangana,50,5000,1,1,50,
510,DACBY,Beauty/Fashion,Kanpur,Uttar Pradesh,75,3409.090909,0,,,
511,Shyle,Beauty/Fashion,Jaipur,Rajasthan,70,7000,1,1,70,
512,SavaniHeritage,Business Services,Mumbai,Maharashtra,300,30000,1,1,100,
513,SNEAKINN,Beauty/Fashion,Gurugram,Haryana,90,3000,1,1,90,
514,fupro,Medical/Health,Chandigarh,"Punjab,Kerala",60,6000,1,1,60,
515,Kanvas,Beauty/Fashion,Mumbai,Maharashtra,60,1000,0,,,
516,ezo,Manufacturing,Akola,Maharashtra,50,15151.51515,0,,,
517,Seven,Technology/Software,Mumbai,Maharashtra,75,7500,1,1,75,Varun Dua
518,TheFutureAnimations,Technology/Software,Delhi,Delhi,50,2000,1,1,50,
519,Aignosis,Technology/Software,Jaipur,Rajasthan,50,1250,1,1,100,Varun Dua
520,Rosha,Manufacturing,Delhi,Delhi,60,6000,1,1,60,
521,MakeMyPayment,Technology/Software,Ujjain,Madhya Pradesh,30,1000,0,,,
522,PatchUp,Medical/Health,Delhi,Delhi,50,2857.142857,1,1,50,
523,tikitoro,Beauty/Fashion,Chennai,Tamil Nadu,25,5000,1,1,25,
524,Ashva,Medical/Health,Ghaziabad,Uttar Pradesh,50,4000,1,1,50,
525,AseemShakti,Beauty/Fashion,Mumbai,Maharashtra,50,2000,1,1,50,
526,RBDMachineTools,Agriculture,Jaipur,Rajasthan,100,10000,1,1,50,
527,MidasPaint,Green/CleanTech,Pune,Maharashtra,300,6000,0,,,
528,GoodlandPickleball,Fitness/Sports/Outdoors,Mumbai,Maharashtra,80,2000,1,1,80,
529,TheNaturikCo,Food and Beverage,Panchkula,Haryana,50,2500,1,1,400,Kunal Bahl
530,Metashot,Fitness/Sports/Outdoors,Bangalore,Karnataka,80,5333.333333,1,1,160,
531,GabruDiChaap,Food and Beverage,Hyderabad,Telangana,70,7000,1,1,140,
532,YaanMan,Beauty/Fashion,Ahmedabad,Gujarat,50,833.3333333,1,1,100,
533,SonicLamb,Lifestyle/Home,Mangalore,Karnataka,50,5000,1,1,50,
534,Woolah,Food and Beverage,Sivasagar,Assam,50,3012.048193,1,1,50,
535,EM5,Beauty/Fashion,Indore,Madhya Pradesh,70,3500,1,1,100,
536,WomanLikeU,Beauty/Fashion,Bangalore,Karnataka,100,5000,1,1,100,
537,BookLeafPublishing,Others,"Delhi,Srinagar","Delhi,Jammu & Kashmir",90,1800,0,,,
538,Str8bat,Fitness/Sports/Outdoors,Bangalore,Karnataka,150,15000,1,1,150,
539,Ruby'sOrganics,Beauty/Fashion,Mumbai,Maharashtra,100,4000,1,1,100,Kunal Bahl
540,TheGoodDoll,Children/Education,Ooty,Tamil Nadu,50,1000,0,,,
541,Schickwheel,Manufacturing,Delhi,Delhi,70,7000,1,0,,
542,ClapStoreToys,Children/Education,Pune,Maharashtra,80,2000,1,1,100,Kunal Bahl
543,RahejaSolarFoodProcessing,Manufacturing,Indore,Madhya Pradesh,50,5000,1,1,175,Kunal Bahl
544,Wanderlooms,Fitness/Sports/Outdoors,Bhopal,Madhya Pradesh,50,2000,1,1,50,
545,Ugees,Lifestyle/Home,Noida,Uttar Pradesh,50,2000,1,1,50,
546,Alt.fCoworking,Business Services,Gurugram,Haryana,100,13333.33333,1,0,,
547,BurgerBae,Beauty/Fashion,"Ludhiana,Kolkata","Punjab,West Bengal",100,4000,1,1,200,Kunal Bahl
548,BobaBhai,Food and Beverage,Bangalore,Karnataka,50,16666.66667,1,1,90,Viraj Bahl
549,Hexafun,Beauty/Fashion,"Mumbai,Delhi","Maharashtra,Delhi",100,2500,0,,,
550,RepeatGud,Food and Beverage,Raipur,Chhattisgarh,50,1000,1,1,50,
551,SkateSupplyIndia,Fitness/Sports/Outdoors,Chandigarh,Punjab,50,2500,1,0,,
552,UtopianDrinks,Food and Beverage,Thane,Maharashtra,40,2222.222222,0,,,
553,GOFIG,Green/CleanTech,Pune,Maharashtra,50,2500,1,0,,
554,Joyspoon,Food and Beverage,Ahmedabad,Gujarat,40,2666.666667,1,1,40,
555,bambinos,Children/Education,Bangalore,Karnataka,100,10000,1,1,100,
556,FundooLabs,Children/Education,Vadodara,Gujarat,60,1500,1,1,66,
557,Gaon,Food and Beverage,Champaran,Bihar,80,2000,1,1,80,
558,EriWeave,Beauty/Fashion,Kdonghulu,Meghalaya,20,166.6666667,1,1,20,
559,PaleooBakes,Food and Beverage,Mumbai,Maharashtra,100,1538.461538,1,1,100,
560,NeuraSim,Medical/Health,Bangalore,Karnataka,100,1250,0,,,
561,Offmint,Beauty/Fashion,Samastipur,Bihar,0.0001,0.01,1,1,10,
562,Chokhat,Lifestyle/Home,Delhi,Delhi,50,714.2857143,1,1,30,
563,ZenmaCoffee,Food and Beverage,Gurugram,Haryana,60,1714.285714,0,,,
564,TheEleFant,Children/Education,Mumbai,Maharashtra,60,6000,0,,,
565,BetterNutrition,Food and Beverage,Lucknow,Uttar Pradesh,60,6000,1,1,60,
566,PinqPolka,Beauty/Fashion,Faridabad,Haryana,100,4000,0,,,
567,Vibrasense,Medical/Health,Sonipat,Haryana,100,5000,1,1,100,
568,NearBook,Children/Education,Sanchore,Rajasthan,40,200,1,1,40,
569,Memotag,Medical/Health,Delhi,Delhi,50,1000,0,,,
570,Klimate,Beauty/Fashion,"Bangalore,Gular","Karnataka,Assam,Jharkhand",54,1800,0,,,
571,HealthFab,Medical/Health,,Assam,100,3333.333333,1,1,200,
572,PieMatrix,Others,Delhi,Delhi,100,3333.333333,1,0,,
573,Sudathi,Beauty/Fashion,Surat,Gujarat,100,10000,1,1,100,
574,Moderate,Medical/Health,Hyderabad,Telangana,50,4000,1,1,100,Kunal Bahl
575,HireForCare,Medical/Health,"Ghaziabad,Jaipur","Uttar Pradesh,Rajasthan",36,1200,1,1,36,Kunal Bahl
576,DreamSmile,Medical/Health,Mumbai,Maharashtra,80,1333.333333,0,,,
577,Madmix,Food and Beverage,Mumbai,Maharashtra,50,5000,1,1,50,
578,Palmonas,Beauty/Fashion,Pune,Maharashtra,126,12600,1,1,126,
579,MKPowerAndMobility,Vehicles/Electrical Vehicles,Pune,Maharashtra,350,7000,0,,,
580,Nidhi'sGrandmaaSecret,Beauty/Fashion,Gurugram,Haryana,70,3500,1,1,70,
581,Solnce,Manufacturing,Surat,Gujarat,100,6666.666667,1,1,100,
582,BornGood,Lifestyle/Home,Bangalore,Karnataka,70,7000,0,,,
583,DorabiAndAmili,Beauty/Fashion,Gurugram,Haryana,75,2500,1,1,100,
584,ZebraLearn,Children/Education,Surat,Gujarat,100,12500,1,1,100,
585,ExclusiveLane,Lifestyle/Home,Gurugram,Haryana,50,5000,0,,,
586,Medial,Technology/Software,Bangalore,Karnataka,50,5000,1,1,50,
587,PanchalDairy,Food and Beverage,Surendranagar,Gujarat,20,200,0,,,
588,MusicPandit,Children/Education,Kochi,Kerala,50,5000,0,,,
589,Cograd,Children/Education,Etawah,Uttar Pradesh,100,5000,1,1,50,
590,EatBetterCo,Food and Beverage,Jaipur,Rajasthan,50,10000,1,1,50,
591,Earthful,Medical/Health,Hyderabad,Telangana,75,7500,1,1,75,
592,Trajectory,Vehicles/Electrical Vehicles,Delhi,Delhi,100,5000,1,1,50,
593,KaviThePoetry-ArtProject,Green/CleanTech,,,60,4000,0,,,
594,F2DF,Agriculture,Jind,Haryana,50,5000,1,1,5,
595,SugarStrings.ai,Medical/Health,"Kalady, Vuyyuru","Kerala,Andhra Pradesh",100,4000,0,,,
596,MomsHome,Children/Education,Jaipur,Rajasthan,75,7500,1,1,75,
597,Catwalk,Food and Beverage,Delhi,Delhi,100,2403.846154,0,,,
598,Beautywise,Beauty/Fashion,Delhi,Delhi,100,6666.666667,1,1,300,
599,Ivory,Medical/Health,Bangalore,Karnataka,50,4000,1,1,50,
600,TheHousePartyBySavar,Business Services,Gurugram,Haryana,100,2000,1,1,50,
601,GlowGlossary,Food and Beverage,"Bangalore,Ghaziabad","Karnataka,Uttar Pradesh",60,1500,0,,,
602,SinghDentalCare,Medical/Health,Amritsar,Punjab,100,2000,0,,,
603,TribalVeda,Food and Beverage,Udaipur,Rajasthan,50,2500,1,1,50,
604,Anuvad,Beauty/Fashion,Ahmedabad,Gujarat,50,1000,0,,,
605,Fitelo,Fitness/Sports/Outdoors,Mohali,Punjab,150,30000,1,1,150,
606,Nanighar,Food and Beverage,Kolkata,West Bengal,100,2000,0,,,
607,GoodMonk,Fitness/Sports/Outdoors,Bangalore,Karnataka,100,5988.023952,1,1,50,
608,Artbuzz,Business Services,Delhi,Delhi,100,3333.333333,0,,,
609,Tulua,Food and Beverage,Mumbai,Maharashtra,50,2500,0,,,
610,Taffykids,Children/Education,Mumbai,Maharashtra,75,7500,1,1,75,
611,WhaleWearables,Lifestyle/Home,Belagavi,Karnataka,30,1000,1,1,30,
612,Zingavita,Medical/Health,Chandigarh,Punjab,100,8000,0,,,
613,DhaagaLife,Beauty/Fashion,Mumbai,Maharashtra,75,1500,0,,,
614,Tileskraft,Lifestyle/Home,Borbi,Gujarat,60,500,0,,,
615,Krishnsakhi,Lifestyle/Home,Mumbai,Maharashtra,37.5,1500,0,,,
616,BoreCharger,Agriculture,Pune,Maharashtra,75,5000,1,0,,
617,SuperBolter,Lifestyle/Home,Bangalore,Karnataka,75,15000,0,,,
618,HiveSchool,Children/Education,"Delhi,Indore","Delhi,Madhya Pradesh",60,1200,0,,,
619,Tintbox,Lifestyle/Home,Ahmedabad,Gujarat,70,1400,0,,,
620,EasyRugs,Lifestyle/Home,Delhi,Delhi,35,700,1,1,35,
621,StylesTry,Beauty/Fashion,Delhi,Delhi,50,5000,0,,,
622,Quitci,Lifestyle/Home,Kolar,Karnataka,50,2500,0,,,
623,FitFeast,Food and Beverage,Delhi,Delhi,100,1538.461538,1,1,100,Viraj Bahl
624,TheBearHouse,Beauty/Fashion,Bangalore,Karnataka,300,30000,1,1,100,
625,UrbanAnimal,Animal/Pets,Bangalore,Karnataka,45,900,0,,,
626,Nooky,Lifestyle/Home,Delhi,Delhi,60,6000,0,,,
627,Subculture,Beauty/Fashion,Ara,Bihar,50,714.2857143,0,,,
628,Woodsmen,Liquor/Alcohol,Delhi,Delhi,150,30000,0,,,
629,BhavisyaPlast,Green/CleanTech,Kolkata,West Bengal,50,3333.333333,1,1,200,Chirag Nakrani
630,Ecoil,Green/CleanTech,Jaipur,Rajasthan,100,8000,1,1,50,Chirag Nakrani
631,Rescript,Green/CleanTech,Bangalore,Karnataka,100,3003.003003,0,,,
632,TickleYourArt,Others,Pune,Maharashtra,21.3,304.2857143,1,1,21.3,
633,Symbionic,Medical/Health,Chennai,Tamil Nadu,80,4000,1,1,40,
634,XLCinema,Entertainment,Delhi,Delhi,150,10000,0,,,
